Timestamp;First roll;Second roll;Third roll;Fourth roll;Fifth roll
7/16/2025 10:18:54;2;1;6;6;2
7/16/2025 10:19:12;5;2;4;6;1
7/16/2025 10:19:25;1;2;4;2;2
7/16/2025 10:19:43;1;3;3;5;6
7/16/2025 10:19:57;5;6;3;6;4
7/16/2025 10:20:06;4;3;1;1;2
7/16/2025 10:20:26;2;6;4;4;2
7/16/2025 10:20:27;4;4;4;4;1
7/16/2025 10:20:57;4;5;1;5;4
7/16/2025 10:20:57;2;3;2;3;1
7/16/2025 10:21:14;2;6;4;1;5
7/16/2025 10:21:17;3;6;5;3;6
7/16/2025 10:22:00;1;1;4;3;6
7/16/2025 10:22:14;6;5;5;5;5
7/16/2025 10:22:22;3;3;2;1;2
7/16/2025 10:22:34;4;4;5;1;3
7/16/2025 10:22:47;1;5;5;2;5
7/16/2025 10:22:56;4;5;4;1;1
7/16/2025 10:23:12;2;1;1;5;5
7/16/2025 10:23:41;4;5;6;1;5
7/16/2025 10:24:26;3;4;5;4;6
7/16/2025 10:24:26;1;6;2;2;6
7/16/2025 10:24:51;2;1;2;5;6
7/16/2025 10:24:55;0;6;5;3;6
7/16/2025 10:25:10;1;6;1;4;6
7/16/2025 10:25:37;6;4;6;5;3
7/16/2025 10:25:54;5;4;4;2;1
7/16/2025 10:25:58;1;5;3;1;4
7/16/2025 10:26:22;4;2;5;1;3
7/16/2025 10:26:58;2;3;2;5;1
7/16/2025 10:27:38;2;1;5;4;2
7/16/2025 10:27:44;1;4;6;3;6
7/16/2025 10:28:12;4;6;2;6;4
7/16/2025 10:28:12;1;4;2;5;4
7/16/2025 10:28:41;4;1;3;6;1
7/16/2025 10:28:49;3;1;2;1;4
7/16/2025 10:29:17;1;2;6;2;3
7/16/2025 10:29:19;4;3;5;4;5
7/16/2025 10:29:33;6;6;4;6;3
7/16/2025 10:29:56;1;6;5;1;6
7/16/2025 10:30:12;6;2;1;1;6
7/16/2025 10:31:53;4;5;3;3;2
7/16/2025 10:33:00;2;2;3;6;1
7/16/2025 10:33:24;3;2;2;2;5
7/16/2025 10:33:51;4;6;2;6;2
7/16/2025 10:34:24;6;4;6;2;3
7/16/2025 10:34:48;5;3;6;6;1
7/16/2025 10:35:03;6;4;5;6;5
7/16/2025 10:35:55;4;4;3;2;6
7/16/2025 10:36:04;6;1;5;2;1
7/16/2025 10:36:23;1;2;1;1;3
7/16/2025 10:36:40;1;5;6;5;6
7/16/2025 10:36:43;2;2;2;6;1
7/16/2025 10:37:05;2;5;5;4;6
7/16/2025 10:37:06;5;4;5;4;6
7/16/2025 10:37:27;4;2;4;5;5
7/16/2025 10:37:40;5;4;5;5;5
7/16/2025 10:38:07;2;5;3;1;2
7/16/2025 10:38:20;5;3;6;4;2
7/16/2025 10:38:41;2;1;4;5;3
7/16/2025 10:38:50;2;6;6;5;6
7/16/2025 10:39:06;1;6;4;6;6
7/16/2025 10:39:37;2;4;5;2;4
7/16/2025 10:39:44;3;5;6;4;1
7/16/2025 10:40:26;2;4;5;1;3
7/16/2025 10:40:32;2;1;5;2;4
7/16/2025 10:40:58;1;6;2;3;2
7/16/2025 10:41:01;2;6;5;1;4
7/16/2025 10:41:36;4;4;3;4;6
7/16/2025 10:42:09;1;1;1;6;6